x,y,z,t
1.670000000000000000e+03,1.135000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.147000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.159000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.172000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.184000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.196000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.208000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.233000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.258000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.282000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,7.170000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,7.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,7.540000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,7.670000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,7.790000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,7.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,8.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,8.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,8.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,8.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,8.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,8.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,8.770000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628000000000000000e+03,8.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,9.010000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,9.140000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,9.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,9.380000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,9.510000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,9.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,9.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,9.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.024000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.037000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.049000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.061000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.073000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.086000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.098000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.122000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.135000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.649000000000000000e+03,1.147000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.159000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.172000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
